Calculating shorest paths...
Calculating shorest paths... done.
total=59K; failed=9804; failrate=0.166169; stretch=1.028702;
N=7; remotes=0.0000; neighs= 4.5714;
total=60K; failed=9967; failrate=0.166117; stretch=1.028721;
N=7; remotes=0.0000; neighs= 4.5714;
total=61K; failed=10125; failrate=0.165984; stretch=1.028717;
N=7; remotes=0.0000; neighs= 4.5714;
total=62K; failed=10291; failrate=0.165984; stretch=1.028854;
N=7; remotes=0.0000; neighs= 4.5714;
total=63K; failed=10456; failrate=0.165968; stretch=1.028947;
N=7; remotes=0.0000; neighs= 4.5714;
total=64K; failed=10644; failrate=0.166313; stretch=1.028844;
N=7; remotes=0.0000; neighs= 4.5714;
total=65K; failed=10787; failrate=0.165954; stretch=1.028941;
N=7; remotes=0.0000; neighs= 4.5714;
total=66K; failed=10949; failrate=0.165894; stretch=1.029064;
N=7; remotes=0.0000; neighs= 4.5714;
total=67K; failed=11115; failrate=0.165896; stretch=1.029042;
N=7; remotes=0.0000; neighs= 4.5714;
total=68K; failed=11274; failrate=0.165794; stretch=1.029070;
N=7; remotes=0.0000; neighs= 4.5714;
total=69K; failed=11429; failrate=0.165638; stretch=1.029181;
N=7; remotes=0.0000; neighs= 4.5714;
total=70K; failed=11591; failrate=0.165586; stretch=1.029139;
N=7; remotes=0.0000; neighs= 4.5714;
total=71K; failed=11748; failrate=0.165465; stretch=1.029248;
N=7; remotes=0.0000; neighs= 4.5714;
total=72K; failed=11914; failrate=0.165472; stretch=1.029175;
N=7; remotes=0.0000; neighs= 4.5714;
total=73K; failed=12094; failrate=0.165671; stretch=1.029045;
N=7; remotes=0.0000; neighs= 4.5714;
total=74K; failed=12262; failrate=0.165703; stretch=1.029091;
N=7; remotes=0.0000; neighs= 4.5714;
total=75K; failed=12439; failrate=0.165853; stretch=1.029140;
N=7; remotes=0.0000; neighs= 4.5714;
total=76K; failed=12590; failrate=0.165658; stretch=1.029144;
N=7; remotes=0.0000; neighs= 4.5714;
total=77K; failed=12769; failrate=0.165831; stretch=1.028989;
N=7; remotes=0.0000; neighs= 4.5714;
total=78K; failed=12933; failrate=0.165808; stretch=1.029032;
N=7; remotes=0.0000; neighs= 4.5714;
total=79K; failed=13107; failrate=0.165911; stretch=1.029062;
N=7; remotes=0.0000; neighs= 4.5714;
total=80K; failed=13283; failrate=0.166037; stretch=1.029093;
N=7; remotes=0.0000; neighs= 4.5714;
total=81K; failed=13461; failrate=0.166185; stretch=1.029094;
N=7; remotes=0.0000; neighs= 4.5714;
total=82K; failed=13617; failrate=0.166061; stretch=1.029042;
N=7; remotes=0.0000; neighs= 4.5714;
total=83K; failed=13773; failrate=0.165940; stretch=1.029136;
N=7; remotes=0.0000; neighs= 4.5714;
total=84K; failed=13935; failrate=0.165893; stretch=1.029116;
N=7; remotes=0.0000; neighs= 4.5714;
total=85K; failed=14089; failrate=0.165753; stretch=1.029050;
N=7; remotes=0.0000; neighs= 4.5714;
total=86K; failed=14250; failrate=0.165698; stretch=1.028976;
N=7; remotes=0.0000; neighs= 4.5714;
total=87K; failed=14417; failrate=0.165713; stretch=1.029029;
N=7; remotes=0.0000; neighs= 4.5714;
total=88K; failed=14606; failrate=0.165977; stretch=1.029022;
N=7; remotes=0.0000; neighs= 4.5714;
