1024	3	100	0.000000	11.877326
128	3	100	0.000000	16.243407
16384	3	100	0.000000	19.383496
16	3	100	0.000000	5.006342
2048	3	100	0.000000	12.885251
256	3	100	0.000000	11.787215
32	3	100	0.000000	12.584547
4096	3	100	0.000000	13.533830
512	3	100	0.000000	10.447398
64	3	100	0.000000	6.038056
8192	3	100	0.000000	16.330623
1024	3	10	0.001636	16.663749
128	3	10	0.000000	16.210446
16384	3	10	0.019656	34.048397
16	3	10	0.000000	4.773733
2048	3	10	0.002741	18.978394
256	3	10	0.000000	16.188820
32	3	10	0.000000	11.113842
4096	3	10	0.004704	22.397568
512	3	10	0.000000	13.447444
64	3	10	0.000000	5.986589
8192	3	10	0.010556	28.453675
1024	3	15	0.000000	14.216129
128	3	15	0.000000	16.032462
16384	3	15	0.000239	29.686371
16	3	15	0.000000	5.006342
2048	3	15	0.000000	16.828550
256	3	15	0.000000	15.457173
32	3	15	0.000000	13.720075
4096	3	15	0.000000	20.077246
512	3	15	0.000000	12.566247
64	3	15	0.000000	6.317932
8192	3	15	0.000000	24.499116
1024	3	20	0.000000	13.528850
128	3	20	0.000000	18.521650
16384	3	20	0.000000	27.030046
16	3	20	0.000000	5.006342
2048	3	20	0.000000	16.157373
256	3	20	0.000000	13.334558
32	3	20	0.000000	12.997681
4096	3	20	0.000000	17.889764
512	3	20	0.000000	12.432848
64	3	20	0.000000	6.095738
8192	3	20	0.000000	22.661312
1024	3	2	0.849970	9.998040
128	3	2	0.406423	16.820455
16384	3	2	0.987703	12.112412
16	3	2	0.054140	3.008843
2048	3	2	0.913720	10.097411
256	3	2	0.546813	9.370802
32	3	2	0.086697	6.687668
4096	3	2	0.953829	10.798242
512	3	2	0.741191	10.322450
64	3	2	0.272487	6.025159
8192	3	2	0.976430	16.956402
1024	3	50	0.000000	12.787166
128	3	50	0.000000	16.906100
16384	3	50	0.000000	21.903890
16	3	50	0.000000	5.006342
2048	3	50	0.000000	13.722265
256	3	50	0.000000	13.117343
32	3	50	0.000000	12.584547
4096	3	50	0.000000	15.134589
512	3	50	0.000000	10.981975
64	3	50	0.000000	6.209956
8192	3	50	0.000000	17.841084
1024	3	5	0.159906	17.534116
128	3	5	0.018816	19.922830
16384	3	5	0.716639	31.888005
16	3	5	0.000000	4.240513
2048	3	5	0.296825	20.092372
256	3	5	0.036447	13.674553
32	3	5	0.000000	5.508792
4096	3	5	0.424826	23.133172
512	3	5	0.125429	15.056360
64	3	5	0.000000	6.596462
8192	3	5	0.579127	27.770525
